,__State,__Helpline_Numbers
0,1,0866-2410978
1,2,9436055743
2,3,6913347770
3,4,104
4,6,104
5,9,104
6,10,104
7,11,8558893911
8,12,104
9,14,104
10,15,"104
080-4684 8600
080-6669 2000"
11,16,0471-2552056
12,20,020-26127394
13,19,0755-2527177
14,21,3852411668
15,23,102
16,22,108
17,24,7005539653
18,27,104
19,25,9439994859
20,28,0141-2225624
21,29,104
22,31,104
23,30,"044-2951 0500
1800-120 555550 (Toll free)
044-2951 0400
044-2430 0300
044-4627 4446
+91-94443 40496 (Cell)
+91-87544 48477 (Cell)"
24,32,0381-2315879
25,33,1800-1805-145
26,34,104
27,35,1800-313444222/ 033-23412600
29,0,03192-2321102
30,5,9779558282
31,7,104
32,13,01912520982/ 0194-2440283
33,8,011-22307145
34,17,1982256462
35,26,104
36,18,104
