,__Countries,__Total_Recovered,__Total_cases,__Total_Deaths,__Active_Cases,__New_Cases
0,203,"1,373,435","3,128,080","134,420","1,620,225","+30,996"
1,26,"1,117,922","1,683,738","67,113","498,703","+9,083"
2,92,"476,550","769,041","21,144","271,347","+25,560"
3,160,"472,511","700,792","10,667","217,614","+6,562"
4,154,"200,938","309,278","10,952","97,388",0
5,41,"271,703","303,083","6,573","24,807","+2,064"
6,182,0,"299,593","28,396",0,+383
7,202,0,"286,979","44,517",0,+630
8,129,"163,646","268,008","32,014","72,348","+6,258"
9,94,"209,463","248,379","12,084","26,832","+2,691"
10,99,"193,640","242,149","34,914","13,595",+193
11,149,"140,965","237,489","4,922","91,602","+2,980"
12,170,"158,050","220,144","2,059","60,035","+3,036"
13,180,"102,299","215,855","3,502","110,054",0
14,199,"187,511","208,938","5,282","16,145","+1,041"
15,76,"182,700","198,705","9,111","6,894",+350
16,15,"80,838","172,134","2,197","89,099","+3,489"
17,70,"77,985","169,473","29,965","61,523",+663
18,43,"51,861","124,494","4,359","68,274",0
19,36,"70,161","106,367","8,733","27,473",+200
20,158,"96,107","101,553",138,"5,308",+608
21,42,"78,548","83,572","4,634",390,+7
22,7,"36,502","83,426","1,654","45,270",0
23,59,"21,718","77,279","3,489","52,072",0
24,188,0,"73,858","5,482",0,+302
25,93,"31,585","68,079","3,359","33,135","+1,853"
26,95,"37,879","67,442","2,779","26,784","+2,741"
27,17,"52,854","64,224",443,"10,927",+221
28,58,"29,071","63,245","4,873","29,301",0
29,18,"17,138","62,123","9,776","35,209",+65
30,201,"42,282","53,045",327,"10,436",+445
31,106,"42,108","52,007",379,"9,520",+762
32,104,"34,149","51,059",264,"16,646","+1,376"
33,140,0,"50,746","6,135",0,+52
34,205,"23,119","50,414","1,306","25,989",+807
35,155,"12,588","50,359","1,314","36,457","+2,486"
36,148,"32,005","50,207",233,"17,969","+1,210"
37,175,"41,323","45,298",26,"3,949",+158
38,157,"29,714","44,859","1,631","13,514",+443
